Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Description,Rating,Reviews,Last Visited,Gender,Product Type,Popularity
Unisex adidas Originals Adi-Ease Shoes,DB3112,59.99,29.99,50,Adidas ORIGINALS,"Unisex adidas Originals Adi-Ease Shoes: Hit the streets in these understated adidas originals. Constructed from strong suede with a board-gripping outsole, these skate shoes toe the line between board feel and durability. Solid colours and 3-Stripes style add an understated element to these go-to shoes.",3.4,64,2020-04-13 15:06:29,Unisex product,footwear,high popularity
Men's Running Nova Flow Shoes,EH1366,59.99,59.99,0,Adidas CORE / NEO,"Men's Running Nova Flow Shoes: Cushion your every step in lightweight comfort. These adidas running shoes feature a breathable mesh upper and ultra-soft midsole cushioning to soften your stride. A durable outsole grips uneven surfaces so you can run with confidence, regardless of the terrain.",4.8,72,2020-04-13 15:06:29,Men's product,footwear,high popularity
Women's adidas Originals Tubular Shadow Shoes,CG6164,79.99,39.99,50,Adidas ORIGINALS,Women's adidas Originals Tubular Shadow Shoes: The tire-inspired sole of the Tubular sneaker series stems from a '90s design experiment. These shoes update the innovative look with a stretchy knit upper and Trefoil logo on the tongue.,3.3,87,2020-04-13 15:06:29,Women's product,footwear,very high popularity
Women's adidas Originals I-5923 Shoes,EE4959,119.99,71.99,40,Adidas ORIGINALS,"Women's adidas Originals I-5923 Shoes: 70s running style inspires these throwback shoes. A mesh and velvet upper creates a luxe feel and textured look. Energy-returning Boost cushioning adds a responsive ride for all-day comfort. They come in fresh, seasonal colours.",2.7,43,2020-04-13 15:06:29,Women's product,footwear,medium popularity
Unisex adidas Originals By Alexander Wang Wangbody Run Shoes,EF2438,179.99,107.99,40,Adidas ORIGINALS,"Unisex adidas Originals By Alexander Wang Wangbody Run Shoes: Sweat it out with Alexander Wang. The designer embraces a nostalgic workout aesthetic with performance-inspired garments that can be worn to the club or the gym. These running-inspired shoes feature a layered leather and mesh upper. Boost in the midsole provides responsive, comfortable cushioning.",3.7,15,2020-04-13 15:06:29,Unisex product,footwear,low popularity
Women's adidas Running Asweego Shoes,F35567,69.99,34.99,50,Adidas CORE / NEO,Women's adidas Running Asweego Shoes: Shoes with flexibility and responsiveness for multisport training. These running shoes for women have a mesh upper that hugs the foot for a sock-like fit. Pillow-like midsole cushioning provides long-lasting comfort. Durable rubber inserts at the forefoot and heel provide added grip so you're ready for unexpected terrain.,2.8,81,2020-04-13 15:06:29,Women's product,footwear,very high popularity
Women's adidas Sport Inspired RunFalcon Shoes,EE8165,55.99,33.59,40,Adidas CORE / NEO,"Women's adidas Sport Inspired RunFalcon Shoes: Start clocking miles in these lightweight running shoes. On the treadmill or the streets, they add comfort to each step with soft cushioning. The supportive trainers have an airy material-mix upper and a midfoot cage for extra support.",2.9,54,2020-04-13 15:06:29,Women's product,footwear,high popularity
Women's adidas Originals Forest Grove Shoes,EE5846,65.99,39.59,40,Adidas ORIGINALS,"Women's adidas Originals Forest Grove Shoes: Inspired by a game-changing running shoes from the archives, this shoe is built for everyday wear. A suede and nylon upper shows off classic 3-Stripes styling. A mesh-wrapped EVA midsole echoes vintage looks from the archives.",5.0,15,2020-04-13 15:06:29,Women's product,footwear,low popularity
MEN'S ADIDAS RUNNING ARGECY SHOES,F34846,55.99,27.99,50,Adidas CORE / NEO,"MEN'S ADIDAS RUNNING ARGECY SHOES: Sporty style with running DNA. These men's shoes feature a two-layer mesh upper that is durable and breathable. Cloudfoam cushioning offers comfort with every stride, while a handy heel pull helps you get them on in a hurry.",0.0,17,2020-04-13 15:06:29,Men's product,footwear,low popularity
WOMEN'S ADIDAS ORIGINALS GAZELLE SHOES,B41663,79.99,39.99,50,Adidas ORIGINALS,"WOMEN'S ADIDAS ORIGINALS GAZELLE SHOES: A contender since the late '60s, the Gazelle started as an indoor football shoe and became a streetwear phenomenon. Made in soft suede, these shoes update the look with an embossed geometric pattern.",3.2,30,2020-04-13 15:06:29,Women's product,footwear,medium popularity
