Product Name,Sale Price,Listing Price,Currency,Color,Description,Country,Rating,Reviews,Gender,Product Type,Popularity
Marimekko Believe This Primegreen AEROREADY Training Bra,20.0,28.0,USD,Pink,"Marimekko Believe This Primegreen AEROREADY Training Bra: Celebrate female empowerment your own way. Designed with Finnish label Marimekko, this juniors' adidas training bra shows off your fierce, feminine spirit. Bright colors in Marimekko's famous Räsymatto design give you signature style. Work hard in comfort thanks to moisture-absorbing AEROREADY.

This product is made with Primegreen, a series of high-performance recycled materials.",USA,4.0,2,Other,clothing,low popularity
Brand Love Repeat Logo High-Waist Woven Pants,36.0,45.0,USD,Black,"Brand Love Repeat Logo High-Waist Woven Pants: First things first. These are not your average track pants. They've got big personality, with an allover crinkle texture and a stacked adidas Badge of Sport that will make you do a double take. Elastic at the waist and ankles gives a secure fit with plenty of give.

This product is made with recycled content as part of our ambition to end plastic waste.",USA,4.3,16,Women's product,clothing,low popularity
adidas x Zoe Saldana Feelbrilliant AEROREADY 3/4 Printed Sport Tights,36.0,45.0,USD,Black,"adidas x Zoe Saldana Feelbrilliant AEROREADY 3/4 Printed Sport Tights: With these adidas tights, you don't have to choose between function and style. Bend, stretch and flex confidently in a snug fit that offers coverage in all the right places. Stay comfortable even when your workout heats up, then move on to the rest of your day feeling fresh and dry, thanks to moisture-absorbing AEROREADY. The allover print brings style for any occasion.",USA,4.9,19,Women's product,clothing,low popularity
Brand Love Repeat Logo High-Waist Woven Pants,41.0,45.0,USD,Purple,"Brand Love Repeat Logo High-Waist Woven Pants: First things first. These are not your average track pants. They've got big personality, with an allover crinkle texture and a stacked adidas Badge of Sport that will make you do a double take. Elastic at the waist and ankles gives a secure fit with plenty of give.

This product is made with recycled content as part of our ambition to end plastic waste.",USA,4.3,16,Women's product,clothing,low popularity
ZX 2K Boost 2.0 Shoes,105.0,150.0,USD,Green,ZX 2K Boost 2.0 Shoes: ZXience expands the ZX universe with a glow. Step into the ZX 2K BOOST 2.0 to experience the cushioned comfort of the wrapped Boost midsole. Embrace the glow of the upper's bold luminous design. Eyes may widen. Embrace all sensations.,USA,4.7,58,Women's product,footwear,medium popularity
3-Stripes Low Cut Socks 3 Pairs,10.0,14.0,USD,Grey,"3-Stripes Low Cut Socks 3 Pairs: Long sets of tuck-ups or leg presses, workouts feel just a little bit easier with the 3-Stripes on your side. Cut low for a comfort, these socks show off a touch of adidas love on the cuff for added motivation when you need it. Lightweight, moisture-wicking yarn keeps your feet feeling as good as they look.",USA,4.8,6,Women's product,accessories,low popularity
Future Icons 3-Stripes Tapered-Leg Pants,32.0,45.0,USD,Grey,"Future Icons 3-Stripes Tapered-Leg Pants: Let your 3-Stripes do your talking for you. Warm up or cool down between workouts in these juniors' pants. Show off your love of adidas with a fresh take on the 3-Stripes. Soft knit feels like the weekend no matter what day you wear them. Enough said.

This product is made with Primegreen, a series of high-performance recycled materials.",USA,4.6,14,Other,clothing,low popularity
HEAT.RDY Warrior Tee,40.0,50.0,USD,Purple,"HEAT.RDY Warrior Tee: Boot camp: Day one. Ah, the old inflatable obstacle course. You're going to conquer it like it's a bouncy castle. This adidas training t-shirt is made with HEAT.RDY to maximize airflow, so you feel cool as you maneuver. Three minutes later, you're swinging through the waterfall, and you're out.",USA,4.6,57,Men's product,clothing,medium popularity
ZX 2K Boost 2.0 Shoes,135.0,150.0,USD,White,"ZX 2K Boost 2.0 Shoes: Look fast. Feel fast. Built on cutting-edge running tech and a progressive spirit, these adidas ZX 2K Boost 2.0 Shoes serve up serious comfort for all your daily moves. Responsive Boost energizes every step as you zip around town. Translucent details flash futuristic style.",USA,4.7,183,Men's product,footwear,very high popularity
ZX 2K Boost Pure Shoes,135.0,150.0,USD,Blue,ZX 2K Boost Pure Shoes: Peer into pure satisfaction. Lace into the stealthy upper of the ZX 2K BOOST PURE's sophisticated tech silhouette. Feel the soft materials embrace your feet. Take a squishy step. The ZX universe just expanded to a new level of sensation.,USA,4.3,26,Men's product,footwear,low popularity
